"id","chore_id","user_id","points","created_at"
"1","32","1","50","2014-01-21 00:00:00"
"2","35","1","150","2014-01-21 00:00:00"
"3","43","1","250","2014-01-21 00:00:00"
"4","38","1","250","2014-01-21 00:00:00"
"5","37","1","250","2014-01-21 00:00:00"
"6","25","1","500","2014-01-21 00:00:00"
"7","16","1","100","2014-01-21 00:00:00"
"8","8","1","100","2014-01-21 00:00:00"
"9","47","1","1000","2014-01-21 00:00:00"
"10","28","1","29","2014-01-21 00:00:00"
"11","45","1","57","2014-01-21 00:00:00"
"12","48","1","29","2014-01-21 00:00:00"
"13","55","1","1500","2014-01-21 00:00:00"
"14","13","2","1500","2014-01-21 00:00:00"
"15","46","2","500","2014-01-21 00:00:00"
"30","38","1","125","2014-01-22 00:00:00"
"31","25","1","500","2014-01-22 00:00:00"
"32","59","1","300","2014-01-22 00:00:00"
"33","60","1","300","2014-01-22 00:00:00"
"34","65","1","500","2014-01-22 00:00:00"
"35","43","1","125","2014-01-22 00:00:00"
"36","80","1","500","2014-01-22 00:00:00"
"37","82","1","500","2014-01-22 00:00:00"
"38","41","1","214","2014-01-22 00:00:00"
"39","70","1","200","2014-01-22 00:00:00"
"40","77","1","1000","2014-01-22 00:00:00"
"41","64","1","500","2014-01-22 00:00:00"
"66","63","1","500","2014-01-23 00:00:00"
"67","66","1","500","2014-01-23 00:00:00"
"68","75","1","500","2014-01-23 00:00:00"
"69","70","2","200","2014-01-23 00:00:00"
"70","72","2","200","2014-01-23 00:00:00"
"71","81","2","300","2014-01-23 00:00:00"
"72","25","1","-500","2014-01-24 00:00:00"
"74","14","1","429","2014-01-24 00:00:00"
"75","11","1","357","2014-01-24 00:00:00"
"76","70","1","200","2014-01-24 00:00:00"
"77","25","1","1000","2014-01-24 00:00:00"
"78","15","1","71","2014-01-24 00:00:00"
"79","76","1","500","2014-01-24 00:00:00"
"80","20","1","36","2014-01-24 00:00:00"
"81","74","1","500","2014-01-24 00:00:00"
"82","16","1","150","2014-01-24 00:00:00"
"83","37","1","375","2014-01-24 00:00:00"
"84","38","1","250","2014-01-24 00:00:00"
"85","13","1","1500","2014-01-24 00:00:00"
"86","78","1","1000","2014-01-24 00:00:00"
"87","72","1","-200","2014-01-25 00:00:00"
"88","61","2","-250","2014-01-25 00:00:00"
"89","79","2","-250","2014-01-25 00:00:00"
"90","79","2","500","2014-01-25 00:00:00"
"91","51","1","257","2014-01-25 00:00:00"
"92","40","1","429","2014-01-25 00:00:00"
"93","62","1","200","2014-01-25 00:00:00"
"94","28","1","57","2014-01-25 00:00:00"
"95","34","1","86","2014-01-25 00:00:00"
"96","25","1","500","2014-01-25 00:00:00"
"97","45","1","114","2014-01-25 00:00:00"
"98","48","1","57","2014-01-25 00:00:00"
"99","44","2","429","2014-01-25 00:00:00"
"100","52","2","857","2014-01-25 00:00:00"
"101","53","2","429","2014-01-25 00:00:00"
"102","38","2","125","2014-01-25 00:00:00"
"103","37","2","125","2014-01-25 00:00:00"
"104","69","2","500","2014-01-25 00:00:00"
"105","26","2","143","2014-01-25 00:00:00"
"106","81","2","86","2014-01-25 00:00:00"
"107","9","2","171","2014-01-25 00:00:00"
"108","10","2","171","2014-01-25 00:00:00"
"109","8","2","200","2014-01-25 00:00:00"
"110","20","2","7","2014-01-25 00:00:00"
"111","15","2","14","2014-01-25 00:00:00"
"112","57","2","500","2014-01-25 00:00:00"
"113","56","2","500","2014-01-25 00:00:00"
"114","11","2","71","2014-01-25 00:00:00"
"115","43","2","375","2014-01-25 00:00:00"
"116","23","2","429","2014-01-25 00:00:00"
"117","13","2","1500","2014-01-25 00:00:00"
"118","70","1","100","2014-01-26 00:00:00"
"119","72","2","150","2014-01-26 00:00:00"
"120","70","1","400","2014-01-26 00:00:00"
"121","29","2","429","2014-01-26 00:00:00"
"122","30","2","20","2014-01-26 00:00:00"
"123","38","2","125","2014-01-26 00:00:00"
"124","37","2","125","2014-01-26 00:00:00"
"125","54","1","20","2014-01-26 00:00:00"
"126","33","1","343","2014-01-26 00:00:00"
"127","27","1","429","2014-01-26 00:00:00"
"128","41","1","500","2014-01-26 00:00:00"
"129","73","1","1000","2014-01-26 00:00:00"
"130","61","1","500","2014-01-26 00:00:00"
"131","67","1","500","2014-01-26 00:00:00"
"132","68","1","500","2014-01-26 00:00:00"
"133","25","2","500","2014-01-26 00:00:00"
"134","72","2","600","2014-01-26 00:00:00"
"135","13","2","1500","2014-01-26 00:00:00"
"136","42","1","171","2014-01-26 00:00:00"
"137","60","1","214","2014-01-27 00:00:00"
"138","59","1","214","2014-01-27 00:00:00"
"139","80","1","357","2014-01-27 00:00:00"
"140","16","1","150","2014-01-27 00:00:00"
"141","8","1","100","2014-01-27 00:00:00"
"142","28","1","50","2014-01-27 00:00:00"
"143","45","1","57","2014-01-27 00:00:00"
"144","65","1","357","2014-01-27 00:00:00"
"145","65","1","0","2014-01-27 00:00:00"
"146","22","1","500","2014-01-27 00:00:00"
"147","64","1","357","2014-01-27 00:00:00"
"148","55","1","1286","2014-01-27 00:00:00"
"149","82","1","357","2014-01-27 00:00:00"
"150","58","1","1000","2014-01-27 00:00:00"
"151","58","1","0","2014-01-27 00:00:00"
"152","13","2","1500","2014-01-27 00:00:00"
"153","72","2","200","2014-01-27 00:00:00"
"154","70","2","200","2014-01-27 00:00:00"
"155","25","2","500","2014-01-27 00:00:00"
"156","17","2","571","2014-01-27 00:00:00"
"161","25","1","500","2014-01-28 00:00:00"
"162","13","1","1500","2014-01-28 00:00:00"
"163","70","1","200","2014-01-28 00:00:00"
"164","72","1","200","2014-01-28 00:00:00"
"165","25","1","500","2014-01-29 00:00:00"
"166","43","1","500","2014-01-29 00:00:00"
"167","13","2","-1500","2014-01-30 00:00:00"
"168","70","2","-200","2014-01-30 00:00:00"
"169","72","2","-200","2014-01-30 00:00:00"
"170","38","2","500","2014-01-30 00:00:00"
"171","37","2","500","2014-01-30 00:00:00"
"172","18","2","429","2014-01-30 00:00:00"
"173","76","2","429","2014-01-30 00:00:00"
"174","14","2","429","2014-01-30 00:00:00"
"175","86","2","500","2014-01-30 00:00:00"
"176","25","1","500","2014-01-30 00:00:00"
"177","13","1","3000","2014-01-30 00:00:00"
"178","72","1","400","2014-01-30 00:00:00"
"179","70","1","400","2014-01-30 00:00:00"
"180","41","1","500","2014-01-30 00:00:00"
"181","48","1","86","2014-01-31 00:00:00"
"182","25","1","500","2014-01-31 00:00:00"
"183","34","1","86","2014-01-31 00:00:00"
"184","34","1","0","2014-01-31 00:00:00"
"185","28","1","100","2014-01-31 00:00:00"
"186","45","1","114","2014-01-31 00:00:00"
"187","16","1","200","2014-01-31 00:00:00"
"188","8","1","200","2014-01-31 00:00:00"
"189","70","1","200","2014-01-31 00:00:00"
"190","32","1","71","2014-01-31 00:00:00"
"191","35","1","143","2014-01-31 00:00:00"
"192","33","1","286","2014-01-31 00:00:00"
"193","26","1","171","2014-01-31 00:00:00"
"194","29","1","357","2014-01-31 00:00:00"
"195","26","1","0","2014-01-31 00:00:00"
"196","27","1","357","2014-01-31 00:00:00"
"197","16","1","200","2014-01-31 00:00:00"
"198","13","1","1500","2014-01-31 00:00:00"
"199","72","1","200","2014-01-31 00:00:00"
"200","40","2","429","2014-01-31 00:00:00"
"201","15","2","86","2014-01-31 00:00:00"
"202","81","2","257","2014-01-31 00:00:00"
"203","11","2","429","2014-01-31 00:00:00"
"204","52","2","857","2014-01-31 00:00:00"
"205","53","2","429","2014-01-31 00:00:00"
"206","9","2","171","2014-01-31 00:00:00"
"207","20","2","43","2014-01-31 00:00:00"
"208","44","2","429","2014-01-31 00:00:00"
"209","9","2","-15","2014-02-01 00:00:00"
"210","25","2","500","2014-02-01 00:00:00"
"211","51","2","300","2014-02-01 00:00:00"
"212","70","2","200","2014-02-01 00:00:00"
"213","67","1","429","2014-02-01 00:00:00"
"214","68","1","100","2014-02-01 00:00:00"
"215","69","2","500","2014-02-01 00:00:00"
"216","39","1","429","2014-02-01 00:00:00"
"217","12","1","186","2014-02-01 00:00:00"
"218","68","1","0","2014-02-01 00:00:00"
"219","41","1","250","2014-02-01 00:00:00"
"220","50","1","464","2014-02-01 00:00:00"
"221","10","1","200","2014-02-01 00:00:00"
"222","65","2","357","2014-02-01 00:00:00"
"223","37","2","250","2014-02-01 00:00:00"
"224","13","2","1500","2014-02-01 00:00:00"
"225","60","2","214","2014-02-01 00:00:00"
"226","59","2","214","2014-02-01 00:00:00"
"227","24","1","-500","2014-02-02 00:00:00"
"228","72","2","-200","2014-02-02 00:00:00"
"229","25","1","500","2014-02-02 00:00:00"
"230","55","1","1286","2014-02-02 00:00:00"
"231","72","2","400","2014-02-02 00:00:00"
"232","70","2","200","2014-02-02 00:00:00"
"233","13","2","1500","2014-02-02 00:00:00"
"234","64","1","429","2014-02-02 00:00:00"
"235","41","1","125","2014-02-02 00:00:00"
"236","24","1","-536","2014-02-03 00:00:00"
"237","80","1","-250","2014-02-03 00:00:00"
"238","25","1","500","2014-02-03 00:00:00"
"239","80","1","500","2014-02-03 00:00:00"
"240","87","1","200","2014-02-03 00:00:00"
"241","70","1","200","2014-02-03 00:00:00"
